Database ID,Country,Districts,Region,Departments,Sous Prefecture,Commune,Latitude,Longitude,GeoID,ISO,ISO3
9181,Cote d`Ivoire,DISTRICT DE DENGUELE,KABADOUGOU,ODIENNE,Bako,Bako,,,,,
,Cote d`Ivoire,DISTRICT DE DENGUELE,KABADOUGOU,ODIENNE,Dioulatiedougou,,,,,,
9182,Cote d`Ivoire,DISTRICT DE DENGUELE,KABADOUGOU,ODIENNE,Dioulatiedougou,Dioulatiedougou,,,,,
,Cote d`Ivoire,DISTRICT DE DENGUELE,KABADOUGOU,ODIENNE,Odienne,,,,,,
9183,Cote d`Ivoire,DISTRICT DE DENGUELE,KABADOUGOU,ODIENNE,Odienne,Odienne,,,,,
,Cote d`Ivoire,DISTRICT DE DENGUELE,KABADOUGOU,ODIENNE,Tieme,,,,,,
9184,Cote d`Ivoire,DISTRICT DE DENGUELE,KABADOUGOU,ODIENNE,Tieme,Tieme,,,,,
9179,Cote d`Ivoire,DISTRICT DE DENGUELE,KABADOUGOU,SAMATIGUILA,,,,,,,
,Cote d`Ivoire,DISTRICT DE DENGUELE,KABADOUGOU,SAMATIGUILA,KIMIRILA-SUD,,,,,,
,Cote d`Ivoire,DISTRICT DE DENGUELE,KABADOUGOU,SAMATIGUILA,Samatiguila,,,,,,
9185,Cote d`Ivoire,DISTRICT DE DENGUELE,KABADOUGOU,SAMATIGUILA,Samatiguila,Samatiguila,,,,,
9180,Cote d`Ivoire,DISTRICT DE DENGUELE,KABADOUGOU,SEGUELON,,,,,,,
,Cote d`Ivoire,DISTRICT DE DENGUELE,KABADOUGOU,SEGUELON,Seguelon,,,,,,
9186,Cote d`Ivoire,DISTRICT DE DENGUELE,KABADOUGOU,SEGUELON,Seguelon,Seguelon,,,,,
9360,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,,,,,,,,,
9361,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,GBEKE,,,,,,,,
9363,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,GBEKE,BEOUMI,,,,,,,
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,GBEKE,BEOUMI,ANDO-KEKRENOU,,,,,,
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,GBEKE,BEOUMI,KODROBO,,,,,,
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,GBEKE,BEOUMI,MARABADJASSA,,,,,,
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,GBEKE,BEOUMI,Beoumi,,,,,,
9367,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,GBEKE,BEOUMI,Beoumi,Beoumi,,,,,
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,GBEKE,BEOUMI,Bodokro,,,,,,
9368,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,GBEKE,BEOUMI,Bodokro,Bodokro,,,,,
9364,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,GBEKE,BOTRO,,,,,,,
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,GBEKE,BOTRO,LANGUIBONOU,,,,,,
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,GBEKE,BOTRO,Botro,,,,,,
9369,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,GBEKE,BOTRO,Botro,Botro,,,,,
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,GBEKE,BOTRO,Diabo,,,,,,
9370,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,GBEKE,BOTRO,Diabo,Diabo,,,,,
9365,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,GBEKE,BOUAKE,,,,,,,
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,GBEKE,BOUAKE,Bouake,,,,,,
9371,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,GBEKE,BOUAKE,Bouake,Bouake,,,,,
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,GBEKE,BOUAKE,Brobo,,,,,,
9372,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,GBEKE,BOUAKE,Brobo,Brobo,,,,,
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,GBEKE,BOUAKE,Djebonoua,,,,,,
9373,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,GBEKE,BOUAKE,Djebonoua,Djebonoua,,,,,
9366,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,GBEKE,SAKASSOU,,,,,,,
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,GBEKE,SAKASSOU,TOUMODI-SAKASSOU,,,,,,
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,GBEKE,SAKASSOU,AYAOU-SRAN,,,,,,
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,GBEKE,SAKASSOU,Sakassou,,,,,,
9374,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,GBEKE,SAKASSOU,Sakassou,Sakassou,,,,,
9362,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,,,,,,,,
9375,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,DABAKALA,,,,,,,
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,DABAKALA,SOKALA-SOBARA,,,,,,
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,DABAKALA,NIEMENE,,,,,,
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,DABAKALA,BONIEREDOUGOU,,,,,,
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,DABAKALA,Bassawa,,,,,,
9378,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,DABAKALA,Bassawa,Bassawa,,,,,
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,DABAKALA,Bonieredougou,,,,,,
9379,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,DABAKALA,Bonieredougou,Bonieredougou,,,,,
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,DABAKALA,Dabakala,,,,,,
9380,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,DABAKALA,Dabakala,Dabakala,,,,,
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,DABAKALA,Foumbolo,,,,,,
9381,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,DABAKALA,Foumbolo,Foumbolo,,,,,
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,DABAKALA,Satama-Sokoro,,,,,,
9382,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,DABAKALA,Satama-Sokoro,Satama-Sokoro,,,,,
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,DABAKALA,Satama-Sokoura,,,,,,
9383,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,DABAKALA,Satama-Sokoura,Satama-Sokoura,,,,,
9376,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,KATIOLA,,,,,,,
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,KATIOLA,Timbe,,,,,,
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,KATIOLA,Fronan,,,,,,
9384,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,KATIOLA,Fronan,Fronan,,,,,
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,KATIOLA,Katiola,,,,,,
9385,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,KATIOLA,Katiola,Katiola,,,,,
9377,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,NIAKARAMADOUGOU,,,,,,,
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,NIAKARAMADOUGOU,ARIKOKAHA,,,,,,
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,NIAKARAMADOUGOU,BADIKAHA,,,,,,
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,NIAKARAMADOUGOU,NIEDIEKAHA,,,,,,
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,NIAKARAMADOUGOU,Niakaramadougou,,,,,,
9386,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,NIAKARAMADOUGOU,Niakaramadougou,Niakaramadougou,,,,,
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,NIAKARAMADOUGOU,Tafire,,,,,,
9387,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,NIAKARAMADOUGOU,Tafire,Tafire,,,,,
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,NIAKARAMADOUGOU,Tortiya,,,,,,
9388,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,NIAKARAMADOUGOU,Tortiya,Tortiya,,,,,
9300,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,,,,,,,,,
9301,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,HAUT-SASSANDRA,,,,,,,,
9303,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,HAUT-SASSANDRA,DALOA,,,,,,,
,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,HAUT-SASSANDRA,DALOA,GADOUAN,,,,,,
,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,HAUT-SASSANDRA,DALOA,ZȀBO,,,,,,
,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,HAUT-SASSANDRA,DALOA,GONATE,,,,,,
,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,HAUT-SASSANDRA,DALOA,Bediala,,,,,,
9307,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,HAUT-SASSANDRA,DALOA,Bediala,Bediala,,,,,
,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,HAUT-SASSANDRA,DALOA,Daloa,,,,,,
9308,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,HAUT-SASSANDRA,DALOA,Daloa,Daloa,,,,,
,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,HAUT-SASSANDRA,DALOA,Gboguhe,,,,,,
9309,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,HAUT-SASSANDRA,DALOA,Gboguhe,Gboguhe,,,,,
9304,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,HAUT-SASSANDRA,ISSIA,,,,,,,
,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,HAUT-SASSANDRA,ISSIA,BOGUEDIA,,,,,,
,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,HAUT-SASSANDRA,ISSIA,IBOGUHE,,,,,,
,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,HAUT-SASSANDRA,ISSIA,NAHIO,,,,,,
,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,HAUT-SASSANDRA,ISSIA,NAMANE,,,,,,
,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,HAUT-SASSANDRA,ISSIA,Issia,,,,,,
9310,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,HAUT-SASSANDRA,ISSIA,Issia,Issia,,,,,
,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,HAUT-SASSANDRA,ISSIA,Saioua,,,,,,
9311,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,HAUT-SASSANDRA,ISSIA,Saioua,Saioua,,,,,
9305,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,HAUT-SASSANDRA,VAVOUA,,,,,,,
,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,HAUT-SASSANDRA,VAVOUA,DANIA,,,,,,
,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,HAUT-SASSANDRA,VAVOUA,SEITEFLA,,,,,,
,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,HAUT-SASSANDRA,VAVOUA,Vavoua,,,,,,
9312,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,HAUT-SASSANDRA,VAVOUA,Vavoua,Vavoua,,,,,
9306,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,HAUT-SASSANDRA,ZOUKOUGBEU,,,,,,,
,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,HAUT-SASSANDRA,ZOUKOUGBEU,GREGBEU,,,,,,
,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,HAUT-SASSANDRA,ZOUKOUGBEU,GUESSABO,,,,,,
,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,HAUT-SASSANDRA,ZOUKOUGBEU,Zoukougbeu,,,,,,
9313,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,HAUT-SASSANDRA,ZOUKOUGBEU,Zoukougbeu,Zoukougbeu,,,,,
9302,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,MARAHOUE,,,,,,,,
9314,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,MARAHOUE,BOUAFLE,,,,,,,
,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,MARAHOUE,BOUAFLE,ZAGUIETA,,,,,,
,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,MARAHOUE,BOUAFLE,PAKOUABO,,,,,,
,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,MARAHOUE,BOUAFLE,TIBEITA,,,,,,
,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,MARAHOUE,BOUAFLE,Bonon,,,,,,
9317,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,MARAHOUE,BOUAFLE,Bonon,Bonon,,,,,
,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,MARAHOUE,BOUAFLE,Bouafle,,,,,,
9318,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,MARAHOUE,BOUAFLE,Bouafle,Bouafle,,,,,
9315,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,MARAHOUE,SINFRA,,,,,,,
,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,MARAHOUE,SINFRA,BAZRE,,,,,,
,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,MARAHOUE,SINFRA,KONONFLA,,,,,,
,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,MARAHOUE,SINFRA,KOUETINFLA,,,,,,
,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,MARAHOUE,SINFRA,Sinfra,,,,,,
9319,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,MARAHOUE,SINFRA,Sinfra,Sinfra,,,,,
9316,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,MARAHOUE,ZUENOULA,,,,,,,
,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,MARAHOUE,ZUENOULA,VOUEBOUFLA,,,,,,
,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,MARAHOUE,ZUENOULA,MAMINIGUI,,,,,,
,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,MARAHOUE,ZUENOULA,Gohitafla,,,,,,
9320,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,MARAHOUE,ZUENOULA,Gohitafla,Gohitafla,,,,,
,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,MARAHOUE,ZUENOULA,Zuenoula,,,,,,
9321,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,MARAHOUE,ZUENOULA,Zuenoula,Zuenoula,,,,,
9200,Cote d`Ivoire,DISTRICT DES LACS,,,,,,,,,
9201,Cote d`Ivoire,DISTRICT DES LACS,BELIER,,,,,,,,
9205,Cote d`Ivoire,DISTRICT DES LACS,BELIER,DIDIEVI,,,,,,,
,Cote d`Ivoire,DISTRICT DES LACS,BELIER,DIDIEVI,MOLONOU-BLE,,,,,,
,Cote d`Ivoire,DISTRICT DES LACS,BELIER,DIDIEVI,BOLI,,,,,,
,Cote d`Ivoire,DISTRICT DES LACS,BELIER,DIDIEVI,RAVIART,,,,,,
,Cote d`Ivoire,DISTRICT DES LACS,BELIER,DIDIEVI,Didievi,,,,,,
9209,Cote d`Ivoire,DISTRICT DES LACS,BELIER,DIDIEVI,Didievi,Didievi,,,,,
,Cote d`Ivoire,DISTRICT DES LACS,BELIER,DIDIEVI,Tie-N'Diekro,,,,,,
9210,Cote d`Ivoire,DISTRICT DES LACS,BELIER,DIDIEVI,Tie-N'Diekro,Tie-N'Diekro,,,,,
9206,Cote d`Ivoire,DISTRICT DES LACS,BELIER,DJEKANOU,,,,,,,
,Cote d`Ivoire,DISTRICT DES LACS,BELIER,DJEKANOU,Bonikro,,,,,,
,Cote d`Ivoire,DISTRICT DES LACS,BELIER,DJEKANOU,Djekanou,,,,,,
9211,Cote d`Ivoire,DISTRICT DES LACS,BELIER,DJEKANOU,Djekanou,Djekanou,,,,,
9207,Cote d`Ivoire,DISTRICT DES LACS,BELIER,TIEBISSOU,,,,,,,
,Cote d`Ivoire,DISTRICT DES LACS,BELIER,TIEBISSOU,LOMOKANKRO,,,,,,
,Cote d`Ivoire,DISTRICT DES LACS,BELIER,TIEBISSOU,YAKPABO-SAKASSOU,,,,,,
,Cote d`Ivoire,DISTRICT DES LACS,BELIER,TIEBISSOU,MOLONOU,,,,,,
,Cote d`Ivoire,DISTRICT DES LACS,BELIER,TIEBISSOU,Tiebissou,,,,,,
9212,Cote d`Ivoire,DISTRICT DES LACS,BELIER,TIEBISSOU,Tiebissou,Tiebissou,,,,,
9208,Cote d`Ivoire,DISTRICT DES LACS,BELIER,TOUMODI,,,,,,,
,Cote d`Ivoire,DISTRICT DES LACS,BELIER,TOUMODI,ANGODA,,,,,,
,Cote d`Ivoire,DISTRICT DES LACS,BELIER,TOUMODI,KPOUEBO,,,,,,
,Cote d`Ivoire,DISTRICT DES LACS,BELIER,TOUMODI,Kokoumbo,,,,,,
9213,Cote d`Ivoire,DISTRICT DES LACS,BELIER,TOUMODI,Kokoumbo,Kokoumbo,,,,,
,Cote d`Ivoire,DISTRICT DES LACS,BELIER,TOUMODI,Toumodi,,,,,,
9214,Cote d`Ivoire,DISTRICT DES LACS,BELIER,TOUMODI,Toumodi,Toumodi,,,,,
9202,Cote d`Ivoire,DISTRICT DES LACS,IFFOU,,,,,,,,
9215,Cote d`Ivoire,DISTRICT DES LACS,IFFOU,DAOUKRO,,,,,,,
,Cote d`Ivoire,DISTRICT DES LACS,IFFOU,DAOUKRO,Ananda,,,,,,
,Cote d`Ivoire,DISTRICT DES LACS,IFFOU,DAOUKRO,Daoukro,,,,,,
9218,Cote d`Ivoire,DISTRICT DES LACS,IFFOU,DAOUKRO,Daoukro,Daoukro,,,,,
,Cote d`Ivoire,DISTRICT DES LACS,IFFOU,DAOUKRO,Ettrokro,,,,,,
9219,Cote d`Ivoire,DISTRICT DES LACS,IFFOU,DAOUKRO,Ettrokro,Ettrokro,,,,,
,Cote d`Ivoire,DISTRICT DES LACS,IFFOU,DAOUKRO,Ouelle,,,,,,
9220,Cote d`Ivoire,DISTRICT DES LACS,IFFOU,DAOUKRO,Ouelle,Ouelle,,,,,
9216,Cote d`Ivoire,DISTRICT DES LACS,IFFOU,M'BAHIAKRO,,,,,,,
,Cote d`Ivoire,DISTRICT DES LACS,IFFOU,M'BAHIAKRO,BONGUERA,,,,,,
,Cote d`Ivoire,DISTRICT DES LACS,IFFOU,M'BAHIAKRO,M'Bahiakro,,,,,,
9221,Cote d`Ivoire,DISTRICT DES LACS,IFFOU,M'BAHIAKRO,M'Bahiakro,M'Bahiakro,,,,,
9217,Cote d`Ivoire,DISTRICT DES LACS,IFFOU,PRIKRO,,,,,,,
,Cote d`Ivoire,DISTRICT DES LACS,IFFOU,PRIKRO,FAMIENKRO,,,,,,
,Cote d`Ivoire,DISTRICT DES LACS,IFFOU,PRIKRO,KOFFI-AMONKRO,,,,,,
,Cote d`Ivoire,DISTRICT DES LACS,IFFOU,PRIKRO,NAFANA,,,,,,
,Cote d`Ivoire,DISTRICT DES LACS,IFFOU,PRIKRO,Prikro,,,,,,
9222,Cote d`Ivoire,DISTRICT DES LACS,IFFOU,PRIKRO,Prikro,Prikro,,,,,
9203,Cote d`Ivoire,DISTRICT DES LACS,MORONOU,,,,,,,,
9223,Cote d`Ivoire,DISTRICT DES LACS,MORONOU,ARRAH,,,,,,,
,Cote d`Ivoire,DISTRICT DES LACS,MORONOU,ARRAH,KREGBE,,,,,,
